feature,mean_importance
50,-0.0013703052290171824
35,-0.0011410158890066524
59,-0.0003650137852808266
22,-0.0003635642924173399
31,0.0
56,0.0
48,0.0
47,0.0
40,0.0
8,0.0
24,0.0
23,0.0
16,0.0
15,4.258300557181682e-05
63,0.00011772502125327877
55,0.00016984613062556164
1,0.0002069566458575922
57,0.00033669291422013247
14,0.000718826628742858
11,0.0009751913846142823
49,0.0010071478092491149
7,0.001453766894669073
17,0.001729520232852183
34,0.00434457460666266
25,0.00447094362082513
6,0.004582759048466384
52,0.005770753914688692
51,0.0059634828015825755
9,0.006100775800964436
61,0.008658027518303496
4,0.009414622749986695
30,0.010195343908875398
37,0.010553213283247154
13,0.010870089743057865
41,0.011111490547493181
58,0.011337371732332518
44,0.011845843871404365
29,0.011847685245318451
62,0.011859916028506307
2,0.01278143479771206
46,0.013630878388325485
10,0.014400389399013008
33,0.016360289575898586
3,0.01885529982319526
27,0.019013402184592226
12,0.020002422951834492
60,0.02089496579657189
45,0.02180096953096198
18,0.02182343096368844
20,0.02312925862948222
38,0.024017849727749358
54,0.02791650795515766
53,0.03369879718725484
5,0.035261112533906416
28,0.06150646583310813
19,0.07758584410357464
36,0.08052572088984393
43,0.08972828358284594
26,0.14722226481787706
42,0.1994388781409685
21,0.3599153258767911
