feature,mean_importance
3,-0.042590382031412216
44,-0.016566050092681955
11,-0.014344122243902052
10,-0.01352814004596956
16,-0.013224970376645273
59,-0.01078666089742441
9,-0.006523391677886131
37,-0.006376548705266072
29,-0.006334288067380994
30,-0.005478002412687455
14,-0.004951602755065942
38,-0.004705997080860874
46,-0.0001801606662289401
23,-3.1330143423435874e-05
40,0.0
31,0.0
56,0.0
48,7.209892138870799e-07
24,0.00010091179716494869
7,0.0009869054269846188
15,0.001515134582378752
13,0.001539979368661054
49,0.0035454520812473024
47,0.0049184166659044124
1,0.005003343729260779
2,0.006770770982190566
28,0.0075190572624000305
22,0.010294098822126552
57,0.011914634652551059
18,0.01254051039518982
5,0.0126734682927039
55,0.012839777772825845
4,0.013715811606187445
58,0.0180175858615508
6,0.018970939793412155
33,0.02022672559951085
8,0.020693009996671063
61,0.023220472977933438
35,0.025198061825504214
12,0.025717497204352423
50,0.028168477612694653
17,0.029425057929322186
19,0.030684782640636656
34,0.03155001145812173
63,0.03208476747061534
54,0.03580550698681732
41,0.03754441385365435
52,0.03782364671940812
51,0.038061222266593954
20,0.03818414053971061
62,0.04102012150345382
45,0.042545479932085836
26,0.046423042626134746
36,0.04958439024839971
25,0.0546892582407915
60,0.060082612699198415
42,0.07206357577968957
21,0.07673015257517543
43,0.07704110674438021
27,0.08459740212472026
53,0.08547643402706316
