feature,mean_importance
3,6.963959707908529e-05
55,0.0002770363030849321
57,0.0007434702847455288
6,0.0009585666879219134
41,0.001443634681867545
63,0.001598483192431044
17,0.0018223491244954038
59,0.0030839973072417926
22,0.004193820902652734
4,0.004253772831635183
52,0.005704032887969612
25,0.00737748499729971
46,0.008896028200977346
62,0.010028613171748302
9,0.011768837905958595
37,0.013090689348884854
2,0.01624136377490113
50,0.01721375375128632
12,0.017226547244147905
18,0.01723502844557525
58,0.01895171786805413
60,0.02229028585296644
51,0.022835430529206658
35,0.027551928059431262
45,0.03089642331089616
34,0.03226675156302987
29,0.03306141206072706
13,0.033576359798789944
53,0.03500045057944401
10,0.038125318895844064
5,0.0396074194371275
19,0.040508711271821776
27,0.04602894117051552
20,0.05166660482841325
44,0.06155175377340222
54,0.08141334562827053
38,0.08252406264205889
61,0.08304791892225906
30,0.08886006687618708
28,0.11489769149467688
33,0.14324008650005457
26,0.1852810319953825
43,0.2572647286155271
42,0.2927473102281293
21,0.3575283898376179
