name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,2.995732273553991,1.47
2_DecisionTree,Decision Tree,logloss,2.408236742419735,10.55
3_Linear,Linear,logloss,2.0748380067075636,9.04
4_Default_Xgboost,Xgboost,logloss,0.21471528962254524,44.84
5_Default_NeuralNetwork,Neural Network,logloss,0.3479460716555721,6.18
6_Default_RandomForest,Random Forest,logloss,1.1479143066856057,8.84
Ensemble,Ensemble,logloss,0.21471528645604848,0.29
