feature,mean_importance
31,0.0
15,0.0
14,0.0
23,0.0
24,0.0
11,0.0
40,0.0
16,0.0
9,0.0
7,0.0
47,0.0
48,0.0
4,0.0
55,0.0
56,0.0
8,0.0
22,0.0
63,0.0004928154393250561
49,0.0009205307394645534
57,0.0009577752446685462
41,0.0011459660666808258
1,0.001319543691351044
12,0.002336082028359443
17,0.0025471034648651193
52,0.00258953767014638
3,0.0026834567490042318
6,0.0031436686520111556
59,0.004477013187509704
62,0.0049886115257352535
35,0.005145338330911553
50,0.008051129328154194
37,0.008605188262814766
46,0.008634383872194484
25,0.008792001286334394
18,0.013023833675492003
2,0.015085346816636414
44,0.017606027947343006
51,0.018889733669833698
45,0.022503294779972184
27,0.023429343007500027
5,0.024423788411629455
29,0.02722236610775438
58,0.027898632466375285
13,0.028346891570209965
53,0.036939660161531086
19,0.037350441619995865
10,0.042146906567574395
61,0.049331869657369874
34,0.050631495275327384
60,0.05097646069537441
20,0.057772629733320834
28,0.07130238611337733
33,0.09274273532794973
30,0.09643840779793321
38,0.09725430972971415
54,0.12408645443059725
26,0.180140576175654
21,0.2005359877572653
43,0.2291360472556916
42,0.2536095653398537
36,0.25583326595616573
