feature,mean_importance
62,-0.023652399905406907
57,-0.021869410561388414
54,-0.018615531105918605
52,-0.01700679651243573
14,-0.01630063680295537
17,-0.01597358336176269
9,-0.014435928144493682
59,-0.010632345046563662
1,-0.00826176193073679
13,-0.004763693979594486
23,-0.0040165251747113825
24,-2.281361366485157e-09
56,1.1102230246251565e-16
48,1.1102230246251565e-16
40,1.1102230246251565e-16
31,1.1102230246251565e-16
47,1.0106467107640071e-08
16,0.0001765320407331017
8,0.0007136822683656341
55,0.004334086304608608
29,0.004604817832078034
15,0.009924951472969689
3,0.019050485443650945
4,0.020232182931659938
22,0.02437838920694787
34,0.02669734211618947
7,0.02893512647278874
11,0.031746204633758934
63,0.03311797294951667
2,0.034821422738800255
58,0.039355963282586136
33,0.03988649541789385
18,0.0430639923335981
5,0.04648414728042678
41,0.04786421166054087
37,0.04788418093675175
60,0.051210086147880564
45,0.05894989706065882
35,0.06035957275945891
50,0.061936826137685766
25,0.06216849273986745
61,0.0628975375796125
20,0.06619092110567529
46,0.06824505566694827
49,0.06869641573105252
53,0.109781955491464
38,0.11129440016540079
6,0.12557609972931788
26,0.14139784958536303
30,0.14879817897066153
10,0.1519860107895449
44,0.15386795455625352
51,0.1688512857428032
27,0.1734615267577851
19,0.19210783519982172
12,0.21695192993157209
43,0.23724418165463143
36,0.24248253985836948
28,0.29687324557981654
42,0.2983660560068745
21,0.34478189430053735
