feature,mean_importance
60,-0.04820811604983816
50,-0.031772912595666516
22,-0.031116177231341823
53,-0.023115337366857513
2,-0.015157373113264016
59,-0.015060617899397777
14,-0.01128965670893528
9,-0.010577470866050875
51,-0.00949757304030172
54,-0.004688721258288076
45,-0.004485036224939032
17,-0.004126481492194878
29,-0.0033480897887441683
1,-0.00318900399781219
8,-0.0015469070041320364
23,-5.943287377009332e-05
48,-5.551115123125783e-17
56,-5.551115123125783e-17
40,-5.551115123125783e-17
24,-5.551115123125783e-17
31,-5.551115123125783e-17
16,-5.551115123125783e-17
47,0.00036545044605112986
57,0.0018883681418357724
55,0.002702321694849663
63,0.006297715092932654
15,0.00667601923478085
34,0.009751139847284828
42,0.01090358527956734
44,0.01246077378402254
49,0.013079082613877824
61,0.013303161565631393
7,0.013391425684356039
46,0.019514039331937728
43,0.021534344691573892
58,0.022763893358463228
13,0.02695584447339986
35,0.027598047067784615
52,0.03170223275276196
3,0.03178033983725831
37,0.03180360206786572
62,0.03469962380150302
4,0.03713858265523042
19,0.03777985739424602
25,0.042254298872322224
11,0.04362139391162702
41,0.04589668543438415
10,0.04669292278254694
36,0.04756004425581066
18,0.05282581234085467
33,0.053824732247357766
28,0.05482278876551527
6,0.05539196573122647
12,0.06875857556185319
20,0.07242200793116901
27,0.07456387520147567
26,0.08942728848759819
30,0.09942334808292819
5,0.1094102972676136
21,0.12445322056185808
38,0.15832941846755272
