feature,mean_importance
56,-8.881784197001253e-17
40,-8.881784197001253e-17
48,-6.661338147750939e-17
7,-6.661338147750939e-17
8,-6.661338147750939e-17
31,-4.4408920985006264e-17
57,-4.4408920985006264e-17
49,-4.4408920985006264e-17
47,-4.4408920985006264e-17
11,-4.4408920985006264e-17
23,-4.4408920985006264e-17
14,-4.4408920985006264e-17
24,-2.2204460492503132e-17
16,-2.2204460492503132e-17
15,0.00011492540296412779
1,0.00013046120028313845
55,0.000250412146138157
22,0.0006659379925627818
41,0.0010003691524749446
63,0.002002134013029344
17,0.002775624069066207
52,0.003180463036050607
4,0.0036399408557873936
6,0.004535733782959184
59,0.005380865827322889
3,0.005422367225062785
46,0.006619446607948764
35,0.007311135154358006
62,0.007331636398586661
12,0.008393350254015264
45,0.010624643537749312
18,0.010722793764167304
50,0.011842014988428707
37,0.012100891763090616
9,0.012236563497370645
58,0.012250165046684757
34,0.01268862015068244
25,0.014194499124461957
60,0.016221175819888533
13,0.018632249301329805
29,0.01901375693547671
2,0.019239835231001833
51,0.023086658078413157
5,0.024565961916488355
44,0.033392829985462724
27,0.04151724429813682
10,0.044497097044427426
53,0.04479320131076795
20,0.05202454319756548
28,0.05259782185884977
19,0.05504788356146769
33,0.07650657759814253
61,0.07741594955340594
38,0.10225855638474264
54,0.10903752572003156
30,0.11579002974595953
26,0.189950820923222
43,0.19200309263377163
36,0.22390779201603314
21,0.2800390743024911
42,0.3475819818256515
