feature,shap_importance
fda,0.7420129270544781
nih,0.48657969418711344
acl,0.44814706413077215
ihs,0.29579915552806396
hrsa,0.2525965146042987
os,0.1555343100226411
cdc,0.15292027537197425
staff_involved,0.0
acf,0.0
ahrq,0.0
aspr,0.0
cms,0.0
samhsa,0.0
