feature,mean_importance
50,-0.004698336288765176
35,-0.0027364607066879764
11,-0.00024954402162284396
63,-6.854777837698168e-05
56,0.0
48,0.0
47,0.0
40,0.0
24,0.0
23,0.0
16,0.0
31,0.0
8,0.0
55,6.918898139028351e-05
15,0.00012745579465343605
1,0.00015231237063373926
57,0.00018501463284742448
14,0.00027585391236008007
59,0.0004649522955932517
22,0.0008893278028268448
49,0.0010797400585013494
7,0.001193015947948739
17,0.001362387122590686
25,0.0028087061769986486
6,0.00482644100899321
34,0.004940055721952513
9,0.007123041782561579
51,0.0077648881568758875
37,0.0077887014280605795
4,0.007942081138931429
13,0.009122460154208567
41,0.009982693712690555
30,0.010535455454594705
29,0.011717649003354985
52,0.011967935209503155
62,0.011990896400734702
2,0.012195440831193182
61,0.012346030154224502
58,0.01303784002862543
46,0.013495187504288176
33,0.015458984400913183
44,0.01634753572868821
27,0.017473484618762823
10,0.018138544809286637
38,0.019746873306080326
60,0.021256518410270847
45,0.021433819776095868
18,0.021748543061624298
12,0.021934749891337972
3,0.022223396887841067
20,0.024793730320417567
54,0.02761166761662699
5,0.030419149095466343
53,0.0363863851778593
28,0.06306113367802162
19,0.07860182747614022
36,0.0788314276036679
43,0.09291913786002962
26,0.14455553329118023
42,0.19729580912557948
21,0.37047093020537564
