feature,mean_importance
15,-1.4540690405318024e-05
40,-8.881784197001253e-17
56,-5.551115123125783e-17
24,-5.551115123125783e-17
16,-5.551115123125783e-17
48,-4.4408920985006264e-17
31,-3.3306690738754695e-17
8,-3.3306690738754695e-17
47,-2.2204460492503132e-17
23,2.2392901925838426e-05
7,3.461648851017518e-05
55,9.431325258224543e-05
49,0.00023750513038922616
14,0.0002922231927108054
11,0.0003703341883994793
57,0.0004671747012468863
1,0.0005274940463119937
22,0.0009832393155633445
41,0.002006422332482738
6,0.00214320224461233
63,0.002194372652140919
17,0.00258347326712417
59,0.0030330238763343178
52,0.003619410861012873
4,0.0046725852386309
3,0.004910098623540615
25,0.006279942900457069
46,0.00730439416869687
62,0.007751404565405495
35,0.008433382710465398
50,0.009008500111057149
45,0.014818403781442136
18,0.016418892282085616
9,0.017157250767137977
51,0.017547833241895027
29,0.01827488567736375
37,0.018275630665231624
12,0.019118021585863475
2,0.019569196731432138
13,0.02049410892704485
44,0.021990274801032116
60,0.03044185511868641
58,0.03084436587176993
53,0.0328668684353273
34,0.0335173046247446
10,0.03736067898215102
5,0.04001929113446845
27,0.05147341368045115
20,0.05510289839312876
19,0.05573811720236841
33,0.06112534313932916
61,0.06342041606428138
28,0.0660591010533382
30,0.07287171810593926
38,0.10644841931078171
54,0.1122616468230571
26,0.19697482684333445
36,0.19769882507650954
43,0.2040845952064275
42,0.24614433878243208
21,0.383716967739542
