feature,mean_importance
3,-0.042590382031412174
44,-0.016566050092682267
11,-0.014344122243902146
10,-0.013528140045969816
16,-0.013224970376645263
59,-0.010786660897424648
9,-0.006523391677886081
37,-0.0063765487052662604
29,-0.006334288067380817
30,-0.00547800241268725
14,-0.0049516027550658755
38,-0.004705997080860697
46,-0.0001801606662288624
23,-3.133014342345808e-05
40,0.0
31,0.0
56,0.0
48,7.209892138870799e-07
24,0.00010091179716490429
7,0.0009869054269845967
15,0.0015151345823787743
13,0.0015399793686608708
49,0.0035454520812471467
47,0.004918416665904401
1,0.005003343729260734
2,0.0067707709821907104
28,0.007519057262399731
22,0.010294098822126585
57,0.011914634652550982
18,0.01254051039518984
5,0.012673468292703844
55,0.012839777772825845
4,0.013715811606187506
58,0.018017585861550844
6,0.01897093979341228
33,0.02022672559951072
8,0.020693009996671043
61,0.023220472977933292
35,0.025198061825504204
12,0.025717497204352485
50,0.028168477612694354
17,0.029425057929322197
19,0.0306847826406364
34,0.03155001145812174
63,0.03208476747061534
54,0.035805506986817205
41,0.037544413853654104
52,0.03782364671940826
51,0.03806122226659373
20,0.038184140539710344
62,0.04102012150345373
45,0.042545479932085885
26,0.046423042626134704
36,0.04958439024839958
25,0.05468925824079139
60,0.060082612699198346
42,0.07206357577968941
21,0.0767301525751749
43,0.0770411067443797
27,0.0845974021247202
53,0.08547643402706294
