feature,mean_importance
22,-0.0009863494546961088
25,-0.0006229678307661524
59,-0.00010561855634916017
57,0.00013264408299114294
41,0.000545666257536076
55,0.0012745082294309735
6,0.002106760235460736
4,0.0027337532666543095
52,0.003525008548176964
17,0.0036887147107969474
37,0.0045172811735958215
30,0.0051821054249632185
3,0.00546729430928988
63,0.005668949710164239
9,0.0074177458846032916
34,0.007984531313291143
35,0.009654404066447266
29,0.010882037116362311
2,0.011449961194663991
18,0.012268165484261032
51,0.012693942703040698
46,0.012818290331905933
62,0.013751597791447745
50,0.013872720608249239
38,0.01390561304913313
58,0.014599257226291231
13,0.015600136220716565
61,0.018372033575328208
10,0.019306025275203594
33,0.021270998216948812
44,0.02227797133192696
45,0.02303477878340076
12,0.023832617126941773
54,0.023867926141994962
20,0.026497003792257466
27,0.02727906399897485
60,0.030926706472474273
5,0.03518523644549229
53,0.03593435745958333
43,0.05070581126831342
19,0.09449252353442986
26,0.10305132169692284
28,0.12500039478111122
42,0.1952553157554818
21,0.3275814856899376
