feature,mean_importance
36,-0.0019395426264716895
28,-0.0018024105967952148
22,-0.0017879332635553774
41,-7.034054522794681e-05
7,-6.583993692656498e-05
24,0.0
16,0.0
40,0.0
31,0.0
8,0.0
48,0.0
56,0.0
47,0.0
23,1.369482457991289e-10
15,5.815846553004766e-06
49,2.6053502380071757e-05
14,0.00014747124447389153
57,0.000372021440869523
59,0.00047327864643348095
11,0.0005530629994014713
37,0.0005919806490936056
35,0.001079209803414738
1,0.001275409036263997
25,0.0013264342638451248
17,0.0014258982242680504
29,0.0020860256197349505
30,0.002111775411318112
63,0.0023651407057422745
55,0.003497566944047803
6,0.0035672065482351247
4,0.004000933337036714
44,0.0043710553287190645
3,0.004599289820045861
2,0.004727286561568636
52,0.005397744328487351
34,0.008736762958639278
10,0.009284546435540473
60,0.01002235132221909
53,0.010445332322309936
62,0.011526434703514114
9,0.011814007841963108
33,0.012798239365241076
61,0.013141133027016947
58,0.013439811725860184
27,0.013895954218695434
13,0.013957573036272786
38,0.015067694585499936
51,0.0156379149633682
46,0.01658317110971887
45,0.019973665476589898
50,0.020935325047054844
18,0.02244668536705476
5,0.024367654897041253
12,0.02507165255608182
54,0.030454672366834544
43,0.03475050971270404
20,0.034884284457815426
19,0.04128716936319588
42,0.0810805429458279
26,0.09394024870916153
21,0.12638443766611157
