feature,mean_importance
7,-0.0021869059902248273
14,-0.002185714295480498
11,-0.0018078056284920653
15,-0.0009142804066478077
22,-0.0008120508520227665
25,-0.0001399094622737962
59,-8.44604784544123e-05
57,-3.074785625528653e-07
24,0.0
16,0.0
40,0.0
31,0.0
23,0.0
48,0.0
8,0.0
56,0.0
47,0.0
41,0.0007640627924384108
49,0.0010059082517680645
55,0.0010442903224988892
1,0.002172206002624419
4,0.0024528014853017837
6,0.002632480468958051
30,0.0027156151683946665
52,0.003718833706161942
37,0.004365690144779227
17,0.004704595680020618
63,0.005026698505098468
29,0.005292119856451419
3,0.005538290043232674
9,0.006776401702700238
34,0.00699431166616705
35,0.007121042374022149
2,0.008280923909182161
18,0.009865776955094016
51,0.012147040318066299
44,0.012895676425327513
58,0.012910380093683976
38,0.013597314623776013
46,0.014091227555136018
50,0.014477478057715754
62,0.015087965497368716
61,0.015190360747121167
13,0.018632650425950286
12,0.019510516320600194
28,0.02141821280688789
45,0.0216982133559348
10,0.022696981555209612
27,0.024028028806787918
33,0.02492478029994446
54,0.025830680585840364
20,0.03208500323574871
60,0.03253004886910209
5,0.036771502727570564
53,0.03936808928892181
43,0.04451728445989391
36,0.06287254758320394
19,0.08577231027132695
26,0.10913350586722555
42,0.19095967026590827
21,0.27986816415147964
