feature,mean_importance
47,-1.1102230246251565e-16
56,-1.1102230246251565e-16
15,-1.1102230246251565e-16
24,-1.1102230246251565e-16
48,-1.1102230246251565e-16
7,-1.1102230246251565e-16
11,-1.1102230246251565e-16
16,-1.1102230246251565e-16
14,-8.881784197001253e-17
31,-8.881784197001253e-17
8,-8.881784197001253e-17
40,-8.881784197001253e-17
23,5.943191455304309e-06
49,9.511595067148714e-05
55,0.0002166469590525688
22,0.00029841846071188005
3,0.00037822031256344867
63,0.0005397114751693799
1,0.0005401465405299622
57,0.0006118894845271505
4,0.000677881713722095
17,0.0007823790367317507
35,0.0007921425298639706
41,0.0010466841526733939
51,0.0011843644551256416
59,0.0012183958671347916
52,0.0012189030338407125
50,0.0018178750340582584
62,0.0022093412319556193
12,0.00263462930997993
9,0.0026424926721198005
25,0.0030113064084800857
6,0.003372814073587871
58,0.0044468879385775924
29,0.006727913539695196
37,0.007468931905033616
2,0.0074755920627498805
27,0.007642086002241433
10,0.007738395956306721
18,0.00792088370012185
46,0.008670405788564506
44,0.008789988776054681
45,0.011476139520950368
53,0.013260081887355214
20,0.01762587695997153
13,0.01842696487669764
19,0.019808357503824103
38,0.024131528443410332
30,0.028357711556717957
5,0.037789386541743374
61,0.042655651295942065
34,0.05796299734408379
33,0.073408978773474
60,0.08168706571892462
28,0.08935690470212938
54,0.09707122132073127
42,0.11360365577903428
26,0.13594635933791877
36,0.26156439092393297
21,0.2653949698780109
43,0.2666947209684225
