feature,shap_importance
staff_involved,22.2118668798652
aspr,17.393832378574942
ihs,9.876524513789876
nih,9.41134637969169
fda,6.768849455177959
os,6.312491022456497
hrsa,6.030183278762785
cdc,5.972943638928321
cms,5.450778938388329
samhsa,5.066037541792152
acf,5.0613736425347
acl,4.712406064021577
ahrq,2.8439701960426764
