name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,rmse,2059.1328766076663,1.83
2_DecisionTree,Decision Tree,rmse,13239.243275865505,5.33
3_Linear,Linear,rmse,5142.209158300055,4.93
4_Default_Xgboost,Xgboost,rmse,1118.5428208232954,4.85
5_Default_NeuralNetwork,Neural Network,rmse,10226192.07011452,4.79
6_Default_RandomForest,Random Forest,rmse,1249.4187460019155,1.06
Ensemble,Ensemble,rmse,1057.9081403662499,0.24
