feature,mean_importance
29,-0.012139720204079196
7,-0.009922932169348354
34,-0.008047511424084419
15,-0.0028865058945845346
23,-0.0021807744973996847
48,-0.0006899790475110246
31,0.0
56,0.0
40,0.0
24,9.032860462339087e-05
47,0.0018558233659259349
16,0.0036151039599288115
58,0.005123908943337152
55,0.008170589490553225
1,0.008197562539922432
57,0.011450644772908225
60,0.018291530588605553
59,0.019308003766678582
9,0.019338104445765558
62,0.019671206739742642
14,0.019699259506191835
17,0.020883456866508433
22,0.02233629187152515
46,0.02265175532196133
45,0.023996331174287667
4,0.02480123171831754
63,0.02923867889213496
53,0.03410045875967456
8,0.0364089266326731
44,0.03857791113107094
37,0.04306300276617252
51,0.04748636882730761
2,0.048365441650373486
30,0.049531624971610254
36,0.05216429144694175
38,0.056669887670278384
54,0.06297875087852153
11,0.06446792818615561
50,0.06771914966451298
25,0.07171352067198364
3,0.07469722521850311
28,0.07576996173814407
13,0.07777276679361356
18,0.08391977846753582
52,0.08399902493867424
61,0.08429878508867487
10,0.08432997426305933
33,0.0856356772136814
49,0.0954548412702573
26,0.09656651451962053
6,0.09886822940625753
41,0.10333076058280802
19,0.12156441669650782
35,0.12972480333165987
5,0.13381130615821335
21,0.14589669826543356
42,0.1695345353467409
43,0.1698773588371158
20,0.18007316503193246
27,0.18988617474861758
12,0.2997976325878199
