feature,mean_importance
52,-0.0018175890989260645
14,-0.0006757182257378092
11,-0.0006598679454206113
59,-0.0002482344149516702
10,-6.127510962880556e-05
55,-3.9329928723363936e-05
23,-1.3943328124005338e-05
24,0.0
40,0.0
47,0.0
16,0.0
48,0.0
31,0.0
8,0.0
56,0.0
7,5.4570059871922315e-05
49,0.0001648017034137028
57,0.00020859786540833314
15,0.00030255852138179605
22,0.0003595569418123501
9,0.0005004930580649325
1,0.0006689320861744452
25,0.0007147632016268779
3,0.0009720281567762001
17,0.0014953321363555371
41,0.0019017127242335675
4,0.0026442892108974603
2,0.0033766636584900978
6,0.004624440951803416
63,0.005033741808941295
58,0.005092066467923995
34,0.006894659178160978
20,0.007100298282643603
13,0.007434299285263918
44,0.007865433927671278
37,0.008567858474211393
18,0.008898516255798733
35,0.010417354287238629
51,0.011033847356357068
46,0.011323517796148097
29,0.011919661629256933
62,0.012363167260284441
61,0.018078816526086443
12,0.018386004189765916
30,0.019065773622158798
50,0.019238073271019795
5,0.020038989377701405
33,0.022760813637484258
60,0.022904849152074653
53,0.02431696183182347
27,0.030485042512090516
54,0.030636313263081062
45,0.030940924988229507
38,0.0575319382773849
28,0.05767244988144461
36,0.06129356812792621
19,0.06914396468990527
43,0.10772618390996262
26,0.140176165922866
42,0.18929732051246528
21,0.38794169649442833
