Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,counter
0.085169963376638,0.1249789554727806,0.1142723374368962,0.0973132333841608,0.1008977652607184,0
0.0711064506921081,0.057158670229735,0.093841369858481,0.0680950655021326,0.0543769270941137,0
0.072193864752091,0.075569897065778,0.0315847977343661,0.0484324487476764,0.0503150867685064,0
0.0597950114418025,0.0282132600863114,0.0442912604297942,0.0474761384244847,0.067966287934826,0
0.011038595002727,0.0179274757709039,0.0463101801469681,0.0163824673184636,0.0450299715905037,0
0.0236368012240807,0.0228631598677845,0.0256364702505113,0.0222191606557843,0.0280195898084236,0
0.0233400398394151,0.0389489945078382,0.0086811309450356,0.0156586467661901,0.0161203213857494,0
0.0178396006665996,0.005197610236138,0.0173892100989269,0.0195542668546015,0.0360805525644092,0
0.0095103331250534,0.0260679643701494,0.0218435557335156,-0.0012730051405897,0.0338641219719657,1
-0.00193200897358,0.0141917491140717,0.0216473276869893,0.0215018798011091,0.0191403568714722,1
0.0088018044384054,0.0083053333885714,0.0125079801046271,0.0148516948122732,0.0253503672585977,0
0.0208069316381451,0.0253349480223122,0.016744236118248,0.0014178740229636,-0.0041626660701408,1
0.0118485367224621,0.0117385493487454,0.001890506521003,0.0193833166537757,0.0074487688293804,0
0.009619656177978,0.0085511496835857,0.0176123734315986,0.0138872651255515,-0.0016031138144232,1
0.0205856785055615,0.0141359510983403,-0.0019847128362936,0.0023227405174046,0.0128782813169181,1
0.0337526590651811,0.0047862181019202,-0.004848623941942,0.0007276525584224,0.008545210492847,1
0.016089422063956,0.0007362220234726,0.0165552127497406,0.0033808884417896,0.0050630774642999,0
0.0057697798299615,0.0163861481204456,0.0092817294405446,0.0013839033452578,0.0073929180268402,0
0.0173572371898929,0.0193313356710369,-0.0012174685685524,-0.001712660759184,0.0064376584122816,2
0.0093142689993025,0.0055537334845537,0.0016792639413152,0.0121931791419863,0.0089988193041485,0
